temperature,date,mois,wind_dire,wind_speed,id
11,"2018-03-28 05:00:00",92,从南方吹来的风,1,369
11,"2018-03-28 08:00:00",91,从西北方吹来的风,2,370
11,"2018-03-28 02:00:00",95,无风,0,371
14,"2018-03-27 20:00:00",83,无风,0,372
13,"2018-03-27 23:00:00",90,从东北偏北方向吹来的风,2,373
16,"2018-03-27 14:00:00",71,从东北偏北方向吹来的风,3,374
15,"2018-03-27 17:00:00",68,从西南方吹来的风,3,375
17,"2018-03-27 11:00:00",73,从东南方吹来的风,3,376
12,"2018-03-27 08:00:00",96,无风,0,377
13,"2018-03-27 02:00:00",80,从东南偏东方向吹来的风,1,378
15,"2018-03-26 23:00:00",67,从东方吹来的风,2,379
14,"2018-03-27 05:00:00",81,无风,0,380
19,"2018-03-26 20:00:00",36,从西南偏南方向吹来的风,3,381
23,"2018-03-26 14:00:00",30,从西南方吹来的风,5,382
22,"2018-03-26 17:00:00",30,从西南方吹来的风,3,383
17,"2018-03-26 11:00:00",64,从东南偏南方向吹来的风,4,384
14,"2018-03-26 05:00:00",77,从东南方吹来的风,2,385
14,"2018-03-26 02:00:00",77,从东方吹来的风,3,386
14,"2018-03-26 08:00:00",79,从东南方吹来的风,2,387
16,"2018-03-25 23:00:00",65,从东方吹来的风,3,388
19,"2018-03-25 20:00:00",46,从东南偏南方向吹来的风,3,389
18,"2018-03-25 11:00:00",50,从东北方吹来的风,1,390
22,"2018-03-25 17:00:00",28,从东南偏南方向吹来的风,4,391
21,"2018-03-25 14:00:00",37,从西南偏南方向吹来的风,5,392
8,"2018-03-25 05:00:00",90,无风,0,393
19,"2018-03-24 20:00:00",43,从西南方吹来的风,5,394
9,"2018-03-25 08:00:00",95,从北方吹来的风,1,395
16,"2018-03-24 23:00:00",50,从西南方吹来的风,3,396
12,"2018-03-25 02:00:00",64,从西北偏西方向吹来的风,1,397
23,"2018-03-24 17:00:00",30,从西南偏南方向吹来的风,3,398
